State,Date,Total Delgates,Clinton Delegates,Clinton Votes,Bernie Delegates,Bernie Votes,Poll Type
Oregon,17-May,61 (13),25,251739,34,320746,Primary,Closed
Kentucky,17-May,55 (5),27,212550,27,210626,Primary,Closed
West Virginia,10-May,29 (8),11,86354,18,123860,Primary,Semi-closed
Guam,7-May,7 (5),4,,3,,Caucus,Closed
Indiana,3-May,83 (9),39,303382,44,335256,Primary,Open
Rhode Island,26-Apr,24 (9),11,52493,13,66720,Primary,Semi-closed
Pennsylvania,26-Apr,189 (21),105,918689,83,719955,Primary,Closed
Delaware,26-Apr,21 (10),12,55950,9,36659,Primary,Closed
Connecticut,26-Apr,55 (15),28,170075,27,152410,Primary,Closed
Maryland,26-Apr,95 (23),61,533247,33,281275,Primary,Closed
New York,19-Apr,247 (44),139,1054083,108,763469,Primary,Closed
Wyoming,9-Apr,14 (4),7,124,7,156,Caucus,Closed
Wisconsin,5-Apr,86 (10),38,432767,48,567936,Primary,Open
Washington,26-Mar,101 (17),27,,74,,Caucus,Open
Hawaii,26-Mar,25 (9),8,10125,17,23530,Caucus,Semi-closed
Alaska,26-Mar,16 (4),3,,13,,Caucus,Closed
Utah,22-Mar,33 (4),6,15666,27,61333,Caucus,Semi-open
Idaho,22-Mar,23 (4),5,5065,18,18640,Caucus,Open
Arizona,22-Mar,75 (10),42,235697,33,163400,Primary,Closed
Ohio,15-Mar,143 (16),81,679266,62,513549,Primary,Semi-open
North Carolina,15-Mar,107 (14),60,616383,47,460316,Primary,Semi-closed
Missouri,15-Mar,71 (13),36,310602,35,309071,Primary,Open
Illinois,15-Mar,156 (26),79,1007382,77,971555,Primary,Open
Florida,15-Mar,214 (32),141,1097400,73,566603,Primary,Closed
Northern Marianas,12-Mar,6 (5),4,,2,,N/A,N/A
Michigan,8-Mar,130 (17),63,576795,67,595222,Primary,Open
Mississippi,8-Mar,36 (5),31,182447,5,36348,Primary,Open
Maine,6-Mar,25 (5),8,,17,,Caucus,Closed
Kansas,5-Mar,33 (4),10,12593,23,26450,Caucus,Closed
Nebraska,5-Mar,25 (5),10,14340,15,19120,Caucus,Closed
Louisiana,5-Mar,51 (8),37,221615,14,72240,Primary,Closed
Virginia,1-Mar,95 (15),62,503358,33,275507,Primary,Open
Vermont,1-Mar,16 (10),0,18335,16,115863,Primary,Open
Texas,1-Mar,222 (30),147,935080,75,475561,Primary,Open
Tennessee,1-Mar,67 (9),44,245304,23,120333,Primary,Open
Oklahoma,1-Mar,38 (4),17,139338,21,174054,Primary,Semi-closed
Minnesota,1-Mar,77 (16),31,73510,46,118135,Caucus,Open
Massachusetts,1-Mar,91 (25),46,603784,45,586716,Primary,Semi-closed
Georgia,1-Mar,102 (14),73,543008,29,214332,Primary,Open
Democrats Abroad,March 1-8,13 (4),4,,9,,Primary,Closed
Colorado,1-Mar,66 (13),25,49314,41,72115,Caucus,Closed
Arkansas,1-Mar,32 (5),22,144580,10,64868,Primary,Open
American Samoa,1-Mar,6 (4),4,,2,,Caucus,Closed
Alabama,1-Mar,53 (7),44,309928,9,76399,Primary,Open
South Carolina,27-Feb,53 (6),39,271514,14,95977,Primary,Open
Nevada,20-Feb,35 (8),20,,15,,Caucus,Closed
New Hampshire,9-Feb,24 (8),9,95252,15,151584,Primary,Semi-closed
Iowa,1-Feb,44 (8),23,,21,,Caucus,Semi-open
Puerto Rico,5-Jun,,,,,,Primary,
California,7-Jun,475(71),261,1940580,206,1502043,Primary,
Montana,7-Jun,21(6),10,55194,11,63168,Primary,
New Jersey,7-Jun,126(16),79,554237,47,323259,Primary,
North Dakota,7-Jun,18(5),5,,13,,Caucus,
New Mexico,7-Jun,34(9),18,110451,16,103856,Primary,
South Dakota,7-Jun,20 (5),11,27046,10,25958,Primary,
District of Columbia,14-Jun,,,,,,Primary,
